Time,dir_x,dir_y,dir_z
9565571333333.96,0.5968513,-0.27997731,-0.75191837
1364012000000.0037,0.51456046,0.76258505,0.39203517
1413388000000.0076,0.50660814,0.85926959,0.07073864
454670666666.6691,0.77040505,0.4742012,-0.42615641
971061333333.321,0.98116375,0.18899469,-0.03998389
531820666666.67065,-0.58393565,0.12009041,0.80286827
224249333333.33276,-0.92095316,-0.31000499,-0.23609782
4971545999999.903,-0.8669714,0.35397751,0.35079983
1603691333333.356,0.09010906,0.77544269,0.62495519
265395999999.999,0.44920657,0.46704212,0.76163319
6971274000000.536,0.1316317,0.10720075,0.98548521
1466878666666.6785,0.67952198,0.65632622,-0.32785023
271567999999.99893,-0.42983618,0.25776282,0.86533184
19867667999998.426,-0.39093463,0.69061377,0.60845931
12441723333332.14,-0.02014808,-0.8996705,0.43610439
5164935333333.298,-0.43793186,-0.76632664,-0.47006293
547250666666.67096,0.84986484,0.51181835,-0.12558558
5902489333333.531,0.57253819,0.81776955,0.05876211
5479707333333.397,0.74654382,-0.4165198,-0.51882904
736525333333.3303,-0.21152587,-0.31260854,-0.92603062
8192301333334.256,-0.03999593,-0.03140283,-0.99870626
1108902666666.65,0.36296112,-0.14164822,0.92097503
2154028000000.0664,-0.08244054,-0.57737068,0.81230946
5838712000000.178,-0.065853,0.97360046,-0.21855328
1606777333333.3562,-0.61729468,0.68301079,-0.39044018
2489373333333.357,-0.76458311,0.44771194,0.463645
1352696666666.6694,-0.81149212,0.35909402,0.46101195
1079071333333.3168,-0.90275123,-0.43013274,-0.00510249
7865185333334.152,0.0088516,0.83665054,0.54766553
519476666666.6704,-0.18354766,0.26554003,0.94646645
70069687333262.83,-0.66925275,-0.54222193,-0.50803163
6341730000000.337,-0.7297017,-0.45072674,-0.51417976
7899131333334.163,0.03874809,-0.42937503,0.90229467
258195333333.3324,0.922534,-0.30567352,-0.23557315
1981212000000.0525,-0.14352257,-0.3819253,0.91298102
431011333333.3353,0.66351671,0.68446094,0.30209071
54965774666634.4,0.00462138,0.42263914,-0.90628627
1053354666666.6512,0.28303564,0.95759357,0.05390156
13642177333331.38,0.97198774,-0.0556574,0.22834644
597655333333.3358,0.34307771,-0.12693747,-0.93069037
319915333333.3331,0.38791656,0.6341279,0.66888157
2096422666666.7285,0.29643579,-0.2471028,-0.9225324
780757999999.9952,-0.83706312,-0.40473961,-0.36811843
6330414666667.0,0.00746945,0.57110683,-0.82084176
10390562000000.104,0.29084085,-0.15542442,-0.94406295
1155192666666.6538,0.59535074,0.12534679,0.79362817
2700249999999.99,0.38341957,0.92163133,-0.05987584
7101914666667.244,-0.1902828,-0.98149771,-0.02132392
874366666666.6582,0.15377003,0.53505026,0.83070813
1092443999999.9828,0.56175611,0.75172046,0.34546551
6680161333333.777,-0.54347209,-0.27382855,-0.79350868
813675333333.3273,0.7053982,-0.46602206,-0.53407566
1740504000000.0334,0.36782444,-0.87320755,0.31970887
2660131999999.9966,0.19510424,0.93045717,0.31013512
856879333333.3256,0.7735521,-0.40111396,0.49063708
1820740000000.04,-0.00859211,-0.86681661,0.49855304
9973952000000.367,-0.36654791,0.25128935,0.89582157
7671796000000.758,0.03047772,-0.76568918,-0.64248828
416610000000.0017,-0.23400535,-0.7233565,-0.64961287
7213010666667.279,0.33889601,-0.85262818,0.39771182
9252856666667.49,-0.38120761,0.91088932,-0.15799178
1144905999999.9863,-0.00648289,0.86737217,-0.49761781
2690991999999.992,-0.69168076,-0.3562221,-0.62823844
2235292666666.7305,-0.09993148,0.59857985,-0.79480555
15377537999996.947,-0.6807376,-0.52712266,0.50866297
2835005333333.3022,-0.86515921,0.49699022,-0.06708395
2357704000000.0444,0.54122882,0.80046652,-0.25753584
16607823333329.502,0.45725552,-0.88834916,-0.04187067
1645866666666.6926,-0.63010633,-0.38257454,0.67572386
1600605333333.3557,0.90642887,-0.42172027,-0.02321023
568852666666.6703,-0.67402014,-0.28249301,-0.68256469
1707586666666.6975,0.00895418,0.50975411,0.86027354
1836170000000.041,-0.42864764,0.87248098,-0.23460207
9235369333334.168,-0.78818385,0.57871283,-0.20942224
939172666666.6556,-0.1485015,0.89470273,0.42125328
222191999999.99945,0.55955925,-0.81430458,0.15427736
1247772666666.6611,-0.83026199,-0.31602297,0.45912363
1886574666666.712,0.08586661,-0.68258383,0.7257453
1770335333333.3691,0.78012358,-0.19792306,0.59349277
1157249999999.9873,0.20728532,-0.21889161,0.95347746
400151333333.3347,-0.07545188,-0.96750965,-0.24131325
3723773333333.1616,0.63598738,0.3402225,0.69265338
702579333333.3317,0.96004633,0.23402815,-0.15343357
5861342666666.852,0.16335972,-0.90362404,0.395951
8164527333334.247,0.95934606,-0.2730197,0.07152197
992663333333.3202,-0.34625797,0.65888789,-0.66781148
414552666666.66833,0.63425373,0.01167245,-0.77303684
1668497333333.361,0.83532907,0.23277976,-0.49803507
399122666666.668,0.8376834,-0.31341092,0.4472808
188245999999.99976,0.06587074,-0.94893041,0.3085322
1472022000000.0122,-0.32406293,-0.24383886,0.91407102
481416000000.003,0.08080484,0.92751949,0.36493586
336374000000.0001,-0.62616512,-0.35915801,0.69204247
6336586666667.002,0.05396439,0.80964397,0.58443519
35574379333350.16,-0.01772228,-0.10867129,0.99391975
313743333333.333,-0.33178491,-0.88829984,0.31755657
3270131333333.2334,-0.98643712,0.10337715,0.12749498
1082157333333.3168,-0.99406161,0.1070294,0.0196525
962831999999.988,0.7556547,0.41738142,0.50475611
296255999999.9993,0.48072833,0.67386664,0.56107398
3869843999999.805,0.37022339,-0.78917292,-0.49004157
829105333333.3267,-0.92148018,0.00625286,0.38837504
2086136000000.0608,-0.00281504,-0.44840235,-0.89382739
3521125999999.8604,-0.18700243,-0.70766089,-0.68135612
37982488000010.73,0.9111669,-0.36251347,-0.19585419
